Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
dynamic+Day316,heat_day51,0.295957956,0.476613792,3.75076477,6280.667434,0.090216888,0.005561569,,4.274958269,1.01E-04
dynamic+Day317,heat_day52,0.305893741,0.490812129,3.871293548,5826.714382,0.090214809,0.005561574,,4.548950409,1.03E-04
dynamic+Day318,heat_day53,0.315746488,0.50472362,3.990590102,5744.710803,0.090214336,0.005560882,,4.705110465,9.82E-05
dynamic+Day319,heat_day54,0.318594903,0.508023525,4.022843267,5563.46511,0.09020831,0.005560882,,4.744669843,1.02E-04
dynamic+Day320,heat_day55,0.319866245,0.509672331,4.037989161,5563.328851,0.090806423,0.005560883,,4.736113845,1.04E-04
dynamic+Day321,heat_day56,0.321224553,0.511571854,4.054371296,5563.209941,0.090806201,0.005560883,,4.777211672,1.08E-04
dynamic+Day322,heat_day57,0.320555814,0.51007344,4.044626216,5195.29048,0.090804805,0.005560874,,4.773307123,1.04E-04
dynamic+Day323,heat_day58,0.319418706,0.507939784,4.029347663,4876.023862,0.09080228,0.005560874,,4.766182951,1.05E-04
dynamic+Day324,heat_day59,0.322662755,0.512180221,4.067763913,4528.776466,0.090801403,0.005560874,,4.77580932,1.02E-04
dynamic+Day325,heat_day60,0.315288131,0.499899853,3.972996623,4082.383728,0.090799496,0.005560874,,4.802207375,1.02E-04
dynamic+Day326,heat_day61,0.31433951,0.498197426,3.960408948,3930.695167,0.090796155,0.005560874,,4.811359292,1.05E-04
dynamic+Day327,heat_day62,0.314493591,0.498414066,3.962270415,3930.704902,0.090788215,0.005560874,,4.833998003,9.98E-05
dynamic+Day328,heat_day63,0.321016654,0.507583313,4.041070785,3930.700303,0.090771852,0.005560874,,5.093634914,1.01E-04
dynamic+Day329,heat_day64,0.329488322,0.519292345,4.142988172,3777.078889,0.090742548,0.005560874,,5.131238296,9.73E-05
dynamic+Day330,heat_day65,0.336220152,0.528195019,4.22275094,3468.595023,0.090704787,0.005560874,,5.166996153,9.98E-05
dynamic+Day331,heat_day66,0.344553437,0.539114688,4.321406864,3252.668476,0.090683664,0.005560874,,5.146912954,9.73E-05
dynamic+Day332,heat_day67,0.345411667,0.539519246,4.329290047,3483.390922,0.090649239,0.005560874,,5.264157733,9.96E-05
dynamic+Day333,heat_day68,0.344441479,0.538327747,4.318107998,3574.87279,0.090560127,0.005560874,,5.276000138,1.00E-04
dynamic+Day334,heat_day69,0.345261665,0.539480837,4.328016495,3574.876118,0.091780807,0.005560874,,5.358647984,1.02E-04
dynamic+Day335,heat_day70,0.349375083,0.545262766,4.377706987,3574.875897,0.092154091,0.005560874,,5.605122173,1.04E-04
dynamic+Day336,heat_day71,0.350342736,0.54623262,4.388576405,3379.905423,0.092154406,0.005560873,,5.59996839,1.06E-04
dynamic+Day337,heat_day72,0.358013025,0.555907913,4.478311369,3076.588228,0.092154646,0.005560873,,5.640845008,1.06E-04
dynamic+Day338,heat_day73,0.375616236,0.579812958,4.688504829,2662.050234,0.093875106,0.005560873,,5.789120286,1.02E-04
dynamic+Day339,heat_day74,0.386601398,0.593679744,4.816298436,2219.612467,0.093874447,0.005560854,,6.033060306,0.016986313
dynamic+Day340,heat_day75,0.396056525,0.607052018,4.930752699,2110.412879,0.09387312,0.005560854,,6.120382407,1.05E-04
dynamic+Day341,heat_day76,0.399338037,0.61166466,4.970394173,2110.423455,0.09387076,0.005560854,,6.749927705,1.02E-04
dynamic+Day342,heat_day77,0.397723904,0.609395798,4.95089509,2110.417348,0.093868222,0.005560854,,7.191710555,1.03E-04
dynamic+Day343,heat_day78,0.386097043,0.590725216,4.80358165,1732.38143,0.093862339,0.005560854,,7.171713363,1.04E-04
dynamic+Day344,heat_day79,0.382645946,0.584302965,4.757320584,1432.172044,0.093853884,0.005560854,,7.170768511,1.08E-04
dynamic+Day345,heat_day80,0.373561684,0.566756905,4.633724272,1199.725142,0.093848537,0.005560854,,7.921918257,1.07E-04
dynamic+Day346,heat_day81,0.366171279,0.551988033,4.531853655,645.4636849,0.093835405,0.005560852,,8.342175043,1.08E-04
dynamic+Day347,heat_day82,0.357346217,0.53472434,4.411088438,417.9620642,0.093810857,0.005560852,,8.789293788,1.08E-04
dynamic+Day348,heat_day83,0.35802638,0.53571811,4.419432457,417.9587714,0.093759476,0.005560852,,9.124406467,1.06E-04
dynamic+Day349,heat_day84,0.357007027,0.534285397,4.407118829,417.9568117,0.093616373,0.005560852,,9.540198121,1.04E-04
dynamic+Day350,heat_day85,0.338032237,0.502566294,4.163080656,257.616165,0.093263133,0.005560849,,9.568073346,1.01E-04
dynamic+Day351,heat_day86,0.31598048,0.466899949,3.882965343,202.0563515,0.092850445,0.005560849,,9.510766036,1.06E-04
dynamic+Day352,heat_day87,0.291508641,0.427643741,3.573209098,57.48723655,0.091411056,0.005560848,,10.11726747,1.06E-04
dynamic+Day353,heat_day88,0.273781407,0.399253407,3.349087866,56.90657012,0.09141045,0.005560848,,10.6064556,1.08E-04
dynamic+Day354,heat_day89,0.25774174,0.372421814,3.14297997,49.75934427,0.091409632,0.005560848,,11.25736554,1.11E-04
dynamic+Day355,heat_day90,0.252990429,0.365794174,3.085751682,49.75997404,0.091407895,0.005560848,,10.70828958,1.11E-04
dynamic+Day356,heat_day91,0.249339523,0.360706237,3.041778574,50.0530764,0.091404392,0.005560848,,10.3337099,1.10E-04
dynamic+Day357,heat_day92,0.231115185,0.331687287,2.811795756,47.98548879,0.091397068,0.005560847,,10.30488707,1.13E-04
highly_dynamic+Day16,heat_day2,0.256518157,0.37143734,3.127653595,4.938424812,0.089624805,0.004836039,,8.378440717,7.70E-05
highly_dynamic+Day17,heat_day3,0.258818922,0.37476988,3.155706047,4.938591,0.086788447,0.004836039,,8.458327515,7.63E-05
highly_dynamic+Day18,heat_day4,0.262461316,0.379804667,3.199493332,5.009028869,0.086788528,0.004836031,,8.518659231,7.62E-05
highly_dynamic+Day19,heat_day5,0.262664958,0.379706732,3.200909178,5.127987268,0.086788717,0.004836043,,8.754413181,7.57E-05
highly_dynamic+Day20,heat_day6,0.263510518,0.380894997,3.211122877,5.128061236,0.086789615,0.004836039,,8.751645906,7.70E-05
highly_dynamic+Day21,heat_day7,0.265258626,0.383351286,3.23223801,5.021751808,0.086790759,0.004836037,,8.705235136,7.61E-05
